,년도,금액,수익,수익율
0,2010,100000000,0,0.0
1,2011,99189610,-810390,-0.8
2,2012,112152750,12963140,13.1
3,2013,124035340,11882590,10.6
4,2014,136853130,12817790,10.3
5,2015,144087920,7234790,5.3
6,2016,136107175,-7980745,-5.5
7,2017,149492135,13384960,9.8
8,2018,122610930,-26881205,-18.0
9,2019,122457925,-153005,-0.1
10,2020,152196710,29738785,24.3
