,년도,금액,수익,수익율
0,2010,100000000,0,0.0
1,2011,92118080,-7881920,-7.9
2,2012,109989405,17871325,19.4
3,2013,119466165,9476760,8.6
4,2014,146127490,26661325,22.3
5,2015,148747890,2620400,1.8
6,2016,148426725,-321165,-0.2
7,2017,155244290,6817565,4.6
8,2018,103043670,-52200620,-33.6
9,2019,117651715,14608045,14.2
10,2020,137389035,19737320,16.8
