,년도,금액,수익,수익율
0,2010,100000000,0,0.0
1,2011,111876040,11876040,11.9
2,2012,136189906,24313866,21.7
3,2013,158933586,22743680,16.7
4,2014,237600026,78666440,49.5
5,2015,386412823,148812797,62.6
6,2016,517314453,130901630,33.9
7,2017,500650788,-16663665,-3.2
8,2018,492368256,-8282532,-1.7
9,2019,626236980,133868724,27.2
10,2020,976467003,350230023,55.9
