,Unnamed: 0,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
119,120,SK텔레콤,70.16259324805664,0.0739214943641371,6.947973336583665,487.48782711306256,1.2896183891925783,5.022635269169872,18.107583140144456,0.0283640598453906,21760969114500.0
496,499,삼성전자,49.40854070242916,0.1306730820810178,5.20986198433338,257.41167790697415,0.9477345187703816,3.4465786022536773,3.923308765944972,0.17352412550828,231030584685000.0
775,780,엔씨소프트,38.42173554591449,0.1432940199436315,24.283130023760965,933.0,5.967267926768536,29.00946755247185,16.643463821077354,0.2090686983987064,10234553763000.0
84,85,NAVER,38.097745230719866,0.0635451616200942,32.022892499587115,1220.0,5.469398139658323,20.65444546413061,19.25484410053838,0.1056824905360968,20107234190000.0
379,380,메가스터디교육,36.38667444490167,0.1165539910570184,7.131731711095131,259.5,0.8553141244410593,3.324160949177869,6.3309111391502615,0.131297340273142,305220786000.0
1404,1413,휴젤,34.719426151362775,0.0823913231785576,21.97616967151548,763.0,9.1158535898558,25.269666037563063,27.621167696449103,0.0655528295375224,1662655207500.0
385,386,메디톡스,24.667275707124592,0.1766152176929721,46.847491945218366,1155.6,15.90862257429555,59.34790359815304,38.23277779285246,0.2164106420177846,3268345923000.0
1148,1155,쿠쿠홀딩스,23.781616027249168,0.1132107765526352,9.965681042383473,237.0,1.7085550084630186,11.528579668291554,12.414821164777468,0.0908770633672137,842823784500.0
1222,1231,펄어비스,22.629402355404466,0.2055297954305437,18.37432529015494,415.8,6.647947336036941,16.894321648839682,16.006580813663838,0.2359324181736594,2690849700000.0
804,809,영원무역홀딩스,22.3101833111463,0.0466275335082192,5.6028226329072455,125.0,0.3383594223511402,3.136257518694266,3.343345368514498,0.0781390407693858,852224500000.0
1261,1270,하림지주,20.766091296524227,0.0239526375401739,5.537874140967896,115.0,0.1462835581029327,6.439066310895136,3.0320376440804195,0.0437483658227919,1076218277000.0
1096,1103,컴투스,20.15903119811105,0.1426230966708404,12.79823407506682,258.0,3.4452556914998578,12.90548720063035,11.318721033490611,0.1612659036567298,1659768180000.0
1332,1341,한전KPS,17.925664165555556,0.1259491649188934,9.260465802933629,166.0,1.202460897358784,11.4841126159407,7.800788952997625,0.1495166632076702,1494000000000.0
1330,1339,한일홀딩스,16.600563153235946,0.1599221819524909,0.6276895490722453,10.42,0.2752809618327174,2.577704135484928,7.944139698620155,0.012635916044357,326665853800.0
493,496,삼성에스디에스,16.510995619234457,0.0797110386368374,24.710805417736356,408.0,1.573124062270051,13.192356812478428,17.991641432794196,0.1094799478278978,15785071200000.0
683,688,아이에스동서,15.806315502575067,0.1117155692675494,3.878196660696377,61.3,0.6858560187125914,3.692036483174341,2.4994752020159523,0.1733383661225217,945655821150.0
572,575,세아제강지주,15.58637140448859,0.1319904678706122,0.4832290778638234,7.531787881034089,0.0875407392415298,1.223239136911105,1.93667097988604,0.0329336437311017,155970410000.0
373,374,매일유업,14.875117953939233,0.0947474409739219,10.59487396926922,157.6,0.4752328208964128,9.850979926680274,8.311080312491129,0.1207829979119274,618078674400.0
569,572,세방전지,13.795115389571428,0.076160178471399,5.21198974923788,71.9,0.4262053798933157,3.55430294779212,4.5227607532866,0.0877663204282044,503300000000.0
416,418,미원에스씨,13.779804196522075,0.130023488594279,9.376040338266138,129.2,0.9357990334612843,15.657668591419462,8.42582570307735,0.1446867662520951,337294429600.0
607,611,슈피겐코리아,13.739499305301187,0.1438819066008911,7.613086741788444,104.6,1.2182741103181456,8.556953669630289,6.610487187106857,0.1657041916158517,325115784900.0
176,177,금화피에스시,13.216569526333334,0.1510370397228405,4.486792119683387,59.3,0.7624501399906428,7.977313629239286,4.298681007918352,0.1576464497738836,177900000000.0
798,803,엠케이전자,12.217851455236728,0.0747255151515095,1.3766741281496535,16.82,0.2596027447042789,3.610566899855738,1.0559237081067143,0.0974243523769253,183402664490.0
332,333,디티알오토모티브,11.701514218373916,0.0671511334206135,5.46937762118907,64.0,0.3520096422498125,4.312697886468876,4.460902590975072,0.0823319718101949,319808160000.0
1403,1412,휴온스글로벌,11.68023188856837,0.0903023000637035,7.559781418930615,88.3,1.2130049794961033,8.599520083848207,6.758692637000579,0.1010055770802503,459349800850.0
14,14,CJ제일제당,11.297889726284074,0.0474630732346018,5.376561088591293,60.74379428553429,0.2664912954715412,10.553973961629532,5.9749617333618605,0.0427095810962684,4975408473000.0
1402,1411,휴온스,10.919347664477048,0.1774076165196982,13.114336533661252,143.2,1.7798025087496316,28.005428336136013,12.924026779321938,0.1800199911684265,584834886000.0
677,682,아이디스홀딩스,10.39553898681028,0.0672309579418162,2.6165069492318764,27.2,0.252989000215998,4.378854078557011,2.5703876452937253,0.0684372526378901,140729481600.0
758,763,에코마케팅,9.8833793087781,0.1364164716701683,11.534516326692922,114.0,2.9735665090072465,12.709880281225818,10.950292255706392,0.1436946140765715,184667881800.0
1291,1300,한국콜마홀딩스,9.734048475034736,0.0992941087490882,6.071471716169884,59.1,1.096932664760214,13.784568787844558,6.22609583213719,0.0968281550920885,530096445300.0
