종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","7160","210","3.02","7010","7220","6970","289599","2064021570","292026041600","40785760"
"900010","3노드디지탈","KOSDAQ","외국기업(소속부없음)","865","-1","-0.12","880","880","860","84911","73616971","52064503970","60190178"
"038120","AD모터스","KOSDAQ","관리종목(소속부없음)","69","0","0.00","0","0","0","0","0","6412670940","92937260"
"013340","AJS","KOSDAQ","벤처기업부","891","0","0.00","895","899","886","77735","69164135","34078480623","38247453"
"068400","AJ렌터카","KOSPI",,"9350","170","1.85","9250","9350","9150","33447","309875450","207067905000","22146300"
"006840","AK홀딩스","KOSPI",,"22200","50","0.23","22450","22450","21750","22251","488748450","165587957400","7458917"
"054620","AP시스템","KOSDAQ","벤처기업부","7280","-20","-0.27","7300","7400","7200","440526","3212049400","157394189680","21620081"
"090470","AST젯텍","KOSDAQ","벤처기업부","5440","190","3.62","5250","5440","5230","37265","198951840","51026340480","9379842"
"138930","BS금융지주","KOSPI",,"13200","50","0.38","13250","13350","13050","206024","2718185300","2552614666800","193379899"
"001460","BYC","KOSPI",,"184000","0","0.00","181500","185500","181500","38","7005500","114929160000","624615"
"001465","BYC우","KOSPI",,"68400","-1000","-1.44","70100","70100","67800","36","2453100","14732334000","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","4500","-115","-2.49","4630","4660","4480","137893","624081980","74020549500","16449011"
"001040","CJ","KOSPI",,"118500","-500","-0.42","119000","120000","118000","98566","11724914000","3438291957000","29015122"
"079160","CJ CGV","KOSPI",,"32150","450","1.42","31900","32300","31900","40165","1288852250","662851274700","20617458"
"130960","CJ E&M","KOSDAQ","우량기업부","26500","150","0.57","26600","26650","26250","95734","2534904800","1005317886000","37936524"
"000120","CJ대한통운","KOSPI",,"100500","-1500","-1.47","101500","104500","100500","43217","4413631000","2292640572000","22812344"
"011150","CJ씨푸드","KOSPI",,"3015","35","1.17","2980","3015","2920","380599","1135491535","108331280595","35930773"
"011155","CJ씨푸드1우","KOSPI",,"4900","10","0.20","4900","4900","4900","40","196000","980000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","277000","7800","2.90","270000","277700","268200","27064","7392752100","1718407726000","6203638"
"001045","CJ우","KOSPI",,"25650","-200","-0.77","25500","25750","25150","5261","134300750","57974719950","2260223"
"097950","CJ제일제당","KOSPI",,"355500","2500","0.71","353000","357500","352500","26777","9524390500","4651729231500","13085033"
"097955","CJ제일제당 우","KOSPI",,"68900","800","1.17","68000","69000","67800","2674","182699100","91460133700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","36700","800","2.23","35100","36700","35100","7993","286774300","397490360000","10830800"
"037560","CJ헬로비전","KOSPI",,"13950","800","6.08","13200","13950","13100","386503","5269156700","966217385250","69262895"
"023460","CNH","KOSDAQ","우량기업부","1275","0","0.00","1275","1280","1255","6484","8242630","47430000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","4440","0","0.00","4515","4530","4300","242254","1070127105","53280000000","12000000"
"159910","CS엘쏠라","KOSDAQ","벤처기업부","12050","350","2.99","11600","12350","11100","614151","7264115050","97300894150","8074763"
"000590","CS홀딩스","KOSPI",,"33650","700","2.12","33800","33800","33600","50","1684000","38848319300","1154482"
"056340","CU전자","KOSDAQ","중견기업부","550","2","0.36","548","550","527","2332429","1259416982","28894880300","52536146"
