종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2820","0","0.00","2845","2845","2795","49656","139394395","126257443260","44772143"
"095570","AJ네트웍스","KOSPI",,"4970","80","1.64","4890","5020","4810","142626","700080655","232706806150","46822295"
"068400","AJ렌터카","KOSPI",,"11800","200","1.72","11750","11850","11600","116721","1372300100","261326340000","22146300"
"006840","AK홀딩스","KOSPI",,"34600","-250","-0.72","34850","35500","34100","15726","546795600","458365610600","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","10200","150","1.49","10250","10300","9990","278597","2824661300","208021054200","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","33600","750","2.28","32900","33700","32500","340126","11324648850","486535627200","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","7030","230","3.38","6860","7040","6750","52755","365425470","105554072120","15014804"
"027410","BGF","KOSPI",,"5600","0","0.00","5600","5630","5540","140274","784601810","536014029600","95716791"
"282330","BGF리테일","KOSPI",,"169500","1000","0.59","168000","170500","167000","22274","3766645000","2929622067000","17283906"
"138930","BNK금융지주","KOSPI",,"7660","40","0.52","7620","7660","7550","638982","4867854540","2496663984360","325935246"
"001460","BYC","KOSPI",,"236500","-500","-0.21","238000","238000","235000","261","61530500","147721447500","624615"
"001465","BYC우","KOSPI",,"124000","500","0.40","123500","124000","123000","117","14409500","26707740000","215385"
"001040","CJ","KOSPI",,"96600","200","0.21","97000","97400","96000","43556","4213327700","2818498006800","29176998"
"079160","CJ CGV","KOSPI",,"34550","600","1.77","34000","34650","33600","51440","1768414250","731123364150","21161313"
"035760","CJ ENM","KOSDAQ","우량기업부","159600","900","0.57","158700","160300","157600","55130","8797749700","3499892978400","21929154"
"00104K","CJ4우(전환)","KOSPI",,"72400","700","0.98","71300","72500","71300","6950","501061200","305999468800","4226512"
"000120","CJ대한통운","KOSPI",,"155000","500","0.32","155500","156000","153000","63767","9877073000","3535913320000","22812344"
"011150","CJ씨푸드","KOSPI",,"2695","85","3.26","2610","3040","2585","4005364","11298215925","96833433235","35930773"
"011155","CJ씨푸드1우","KOSPI",,"31200","-150","-0.48","31350","35900","31000","39699","1315017150","6240000000","200000"
"001045","CJ우","KOSPI",,"46250","-300","-0.64","46300","46750","46200","3567","165695050","104535313750","2260223"
"097950","CJ제일제당","KOSPI",,"252500","2500","1.00","252500","254500","250000","31019","7839387000","3801181965000","15054186"
"097955","CJ제일제당 우","KOSPI",,"109000","500","0.46","108500","109500","107500","2390","259373000","144690197000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","28650","300","1.06","28000","28750","27950","22114","628227500","340120938900","11871586"
"037560","CJ헬로","KOSPI",,"6050","50","0.83","5960","6070","5960","93412","564530310","468553533250","77446865"
"058820","CMG제약","KOSDAQ","벤처기업부","4250","170","4.17","4125","4355","4125","11685085","49811136165","590292037000","138892244"
