종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"307160","하나머스트제6호스팩","KOSDAQ","SPAC(소속부없음)","2050","10","0.49","2030","2050","2030","430","872920","9409500000","4590000"
"166090","하나머티리얼즈","KOSDAQ","우량기업부","12050","400","3.43","11600","12400","11600","167548","2020239300","231558511700","19216474"
"293480","하나제약","KOSPI",,"22500","500","2.27","22300","23000","22050","110769","2505936050","364500000000","16200000"
"039130","하나투어","KOSPI",,"68800","3200","4.88","66500","69200","66500","236219","16138246400","799193528000","11616185"
"136480","하림","KOSDAQ","우량기업부","2800","90","3.32","2755","2805","2735","140452","390543295","243448626400","86945938"
"003380","하림지주","KOSDAQ","우량기업부","11500","-450","-3.77","11900","11950","11450","199834","2323709150","1076218277000","93584198"
"172580","하이골드12호","KOSPI",,"2780","10","0.36","2770","2780","2765","7564","20967330","36263710000","13044500"
"153360","하이골드3호","KOSPI",,"1845","10","0.54","1845","1845","1815","684","1261670","29796362550","16149790"
"159650","하이골드8호","KOSPI",,"1140","5","0.44","1140","1140","1130","268","304950","16992759060","14905929"
"149980","하이로닉","KOSDAQ","벤처기업부","4485","135","3.10","4355","4520","4355","62923","279705345","63214931325","14094745"
"013030","하이록코리아","KOSDAQ","우량기업부","16450","-900","-5.19","17400","17400","16400","40366","674124650","223937666400","13613232"
"126700","하이비젼시스템","KOSDAQ","우량기업부","8800","300","3.53","8550","9020","8530","209329","1847403850","131490585600","14942112"
"200470","하이셈","KOSDAQ","중견기업부","3995","145","3.77","3850","4060","3850","118886","474839150","70126951600","17553680"
"071090","하이스틸","KOSPI",,"26900","100","0.37","26700","27100","26500","5784","154765300","53798493600","1999944"
"221840","하이즈항공","KOSDAQ","중견기업부","5300","20","0.38","5280","5350","5080","11395","58834110","93789685100","17696167"
"106190","하이텍팜","KOSDAQ","우량기업부","17400","450","2.65","17100","17500","16750","31555","543115750","123344806800","7088782"
"019490","하이트론","KOSPI",,"3620","20","0.56","3600","3760","3580","3826","13755190","20021260700","5530735"
"000080","하이트진로","KOSPI",,"16600","-350","-2.06","16950","16950","16500","188250","3133918850","1164217942600","70133611"
"000087","하이트진로2우B","KOSPI",,"14500","300","2.11","14500","14500","14000","2724","38784150","16387001000","1130138"
"000140","하이트진로홀딩스","KOSPI",,"7010","70","1.01","6940","7010","6940","1369","9559940","162679422650","23206765"
"000145","하이트진로홀딩스우","KOSPI",,"7700","-40","-0.52","7870","7870","7620","60","458820","3625237000","470810"
"066130","하츠","KOSDAQ","우량기업부","3755","0","0.00","3755","3795","3730","29377","110455980","48064000000","12800000"
"240540","한국4호스팩","KOSDAQ","관리종목(소속부없음)","2050","5","0.24","2055","2055","2040","134394","274757825","11275000000","5500000"
"152550","한국ANKOR유전","KOSPI",,"1745","-15","-0.85","1765","1765","1745","10940","19106895","122184900000","70020000"
"004590","한국가구","KOSDAQ","중견기업부","20400","0","0.00","20200","20650","20150","372","7544900","61200000000","3000000"
"036460","한국가스공사","KOSPI",,"48200","100","0.21","47600","48350","47400","188794","9034911200","4449486600000","92313000"
"039340","한국경제TV","KOSDAQ","우량기업부","3885","0","0.00","3900","3905","3855","39434","152988935","89355000000","23000000"
"005430","한국공항","KOSPI",,"42700","600","1.43","42250","42700","41950","2707","114641750","135203358500","3166355"
"071050","한국금융지주","KOSPI",,"59500","100","0.17","59300","59800","58900","145625","8630827100","3315696524000","55725992"
"071055","한국금융지주우","KOSPI",,"34950","150","0.43","34800","35250","34700","3720","129825550","204745872450","5858251"
"034950","한국기업평가","KOSDAQ","중견기업부","51800","-800","-1.52","52600","53000","51800","1102","57576700","235198625200","4540514"
"010040","한국내화","KOSPI",,"5520","210","3.95","5410","5620","5300","1402064","7634860550","126207248640","22863632"
"025540","한국단자","KOSPI",,"40600","950","2.40","39200","40950","39200","10003","403227900","422849000000","10415000"
"222980","한국맥널티","KOSDAQ","벤처기업부","11150","650","6.19","10500","11400","10500","69751","764858700","55471250000","4975000"
"226610","한국비엔씨","KONEX","일반기업부","9000","320","3.69","9700","9700","8370","5368","47323290","53481834000","5942426"
"004090","한국석유","KOSPI",,"134500","500","0.37","134000","135500","132000","2301","308876500","88124400000","655200"
"025550","한국선재","KOSDAQ","우량기업부","2750","70","2.61","2700","2760","2700","55650","152244425","67436198500","24522254"
"002960","한국쉘석유","KOSPI",,"336500","2500","0.75","333000","337000","333000","1476","495274500","437450000000","1300000"
"017890","한국알콜","KOSDAQ","우량기업부","7170","200","2.87","6980","7190","6980","51539","366937160","154913299200","21605760"
"080720","한국유니온제약","KOSDAQ","벤처기업부","13250","200","1.53","13350","13350","12950","58397","767845100","78224396000","5903728"
"123890","한국자산신탁","KOSPI",,"4400","30","0.69","4410","4455","4370","86352","381229815","452055511600","102739889"
"015760","한국전력","KOSPI",,"33100","600","1.85","32350","33800","32350","1229000","40846690500","21249010948700","641964077"
"063570","한국전자금융","KOSDAQ","우량기업부","8990","230","2.63","8760","9150","8760","126829","1134849000","311465094720","34645728"
"041460","한국전자인증","KOSDAQ","중견기업부","4000","90","2.30","3870","4090","3865","219364","878170040","85836996000","21459249"
"006200","한국전자홀딩스","KOSPI",,"810","0","0.00","823","823","800","35005","28233175","37910540160","46803136"
"101680","한국정밀기계","KOSDAQ","관리종목(소속부없음)","2410","0","0.00","0","0","0","0","0","20253640000","8404000"
"039740","한국정보공학","KOSDAQ","중견기업부","3240","-20","-0.61","3265","3295","3145","7772","24910845","25979606280","8018397"
"053300","한국정보인증","KOSDAQ","중견기업부","3775","65","1.75","3720","3815","3715","36021","135631650","117647875000","31165000"
"025770","한국정보통신","KOSDAQ","우량기업부","9340","-180","-1.89","9520","9590","9330","56103","527683640","362511019620","38812743"
"271740","한국제5호스팩","KOSDAQ","SPAC(소속부없음)","2060","10","0.49","2025","2060","2025","655","1346125","8240000000","4000000"
"281410","한국제6호스팩","KOSDAQ","SPAC(소속부없음)","2060","0","0.00","2025","2060","2025","20","40535","9290600000","4510000"
"291210","한국제7호스팩","KOSDAQ","SPAC(소속부없음)","2025","0","0.00","0","0","0","0","0","10246500000","5060000"
"310870","한국제8호스팩","KOSDAQ","SPAC(소속부없음)","2010","-5","-0.25","2010","2015","2010","10890","21915460","6874200000","3420000"
"002300","한국제지","KOSPI",,"16300","50","0.31","16200","16450","16000","3033","49413750","81580668700","5004949"
"023350","한국종합기술","KOSPI",,"5500","170","3.19","5390","5640","5380","341465","1882782260","60225000000","10950000"
"025890","한국주강","KOSPI",,"1595","-25","-1.54","1620","1635","1570","34722","55708215","18038268105","11309259"
"000970","한국주철관","KOSPI",,"9800","210","2.19","9630","9950","9490","222878","2167319890","223444900000","22800500"
"104700","한국철강","KOSPI",,"5520","-40","-0.72","5650","5650","5520","29325","162790800","254196000000","46050000"
"017960","한국카본","KOSPI",,"7040","220","3.23","6900","7050","6770","501422","3469865990","309483729280","43960757"
"023760","한국캐피탈","KOSDAQ","우량기업부","607","7","1.17","600","609","592","150357","90607544","102103212632","168209576"
"054040","한국컴퓨터","KOSDAQ","우량기업부","2385","10","0.42","2355","2420","2355","45584","108724490","38330026650","16071290"
"050540","한국코퍼레이션","KOSDAQ","중견기업부","3050","50","1.67","3620","3625","3020","1658222","5410391825","85762068550","28118711"
"161890","한국콜마","KOSPI",,"70500","900","1.29","69600","71600","69600","117201","8322942200","1575442209000","22346698"
"024720","한국콜마홀딩스","KOSPI",,"29550","1100","3.87","28400","29650","28350","85218","2499386400","530096445300","17938966"
"021650","한국큐빅","KOSDAQ","벤처기업부","2330","5","0.22","2325","2340","2300","32378","75200290","38096811790","16350563"
"161390","한국타이어","KOSPI",,"40150","250","0.63","39900","40450","39700","220511","8867572550","4973584020350","123875069"
"000240","한국타이어월드와이드","KOSPI",,"16600","100","0.61","16500","16850","16450","47231","784717600","1544134871800","93020173"
"053590","한국테크놀로지","KOSDAQ","벤처기업부","642","59","10.12","600","730","579","3858534","2616763930","43000613658","66979149"
"034830","한국토지신탁","KOSPI",,"2700","-60","-2.17","2765","2770","2700","266993","725401995","681720921000","252489230"
"007280","한국특수형강","KOSPI",,"2500","-10","-0.40","2510","2565","2415","44683","111581095","45052195000","18020878"
"168490","한국패러랠","KOSPI",,"2500","5","0.20","2510","2510","2475","7751","19308870","200050000000","80020000"
"037230","한국팩키지","KOSDAQ","중견기업부","1855","60","3.34","1780","1860","1780","47775","86707515","46375000000","25000000"
"010100","한국프랜지","KOSPI",,"1360","25","1.87","1330","1395","1330","30386","41579230","41412571200","30450420"
"047810","한국항공우주","KOSPI",,"31900","1000","3.24","30950","32150","30950","454925","14463605400","3109455913300","97475107"
"123690","한국화장품","KOSPI",,"10750","150","1.42","10800","10900","10600","49630","535085800","172731000000","16068000"
"003350","한국화장품제조","KOSPI",,"35700","350","0.99","35400","36050","35400","15653","560153850","161792400000","4532000"
"030520","한글과컴퓨터","KOSDAQ","우량기업부","13000","0","0.00","13000","13100","12800","65175","843175950","300068743000","23082211"
"052600","한네트","KOSDAQ","중견기업부","2560","25","0.99","2535","2580","2510","52056","132443325","29603072000","11563700"
"011500","한농화성","KOSPI",,"4005","5","0.13","4020","4100","3960","15554","62427100","62626353210","15637042"
"002390","한독","KOSPI",,"30700","350","1.15","30500","31150","30300","71172","2181334700","422540463100","13763533"
"014790","한라","KOSPI",,"4310","-70","-1.60","4335","4425","4300","89541","390181915","167551000020","38874942"
"092460","한라IMS","KOSDAQ","벤처기업부","7000","90","1.30","6910","7050","6880","11396","79277860","80216514000","11459502"
"060980","한라홀딩스","KOSPI",,"43750","750","1.74","43050","43900","42600","17444","756385400","472617731250","10802691"
"222810","한류에이아이센터","KOSDAQ","벤처기업부","5550","-250","-4.31","5930","5950","5550","122165","694985700","88764124800","15993536"
"053690","한미글로벌","KOSPI",,"9520","-100","-1.04","9590","9730","9520","44016","422978710","104315876000","10957550"
"042700","한미반도체","KOSPI",,"7780","30","0.39","7750","7860","7750","67578","528136520","445201864200","57223890"
"008930","한미사이언스","KOSPI",,"79000","2200","2.86","76800","79900","76800","50615","3997660100","5016442093000","63499267"
"128940","한미약품","KOSPI",,"464000","13500","3.00","455000","470500","455000","45776","21180733500","5282960624000","11385691"
"047080","한빛소프트","KOSDAQ","중견기업부","3100","35","1.14","3070","3185","3065","20964","64666415","76817491600","24779836"
"009240","한샘","KOSPI",,"67400","-1200","-1.75","69200","69400","65900","171376","11504377300","1586186747200","23533928"
"020000","한섬","KOSPI",,"36250","1250","3.57","34850","36800","34800","36590","1327563900","892837500000","24630000"
"003680","한성기업","KOSPI",,"5810","10","0.17","5800","5840","5700","8480","48754000","34475790510","5933871"
"105630","한세실업","KOSPI",,"19850","1100","5.87","18750","20100","18600","190403","3740288050","794000000000","40000000"
