,Unnamed: 0,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
384,499,삼성전자,26.56814824058455,0.1316898340252973,9.40184153445849,249.78951962197803,1.1147964353778168,5.903950664118633,7.717545608578068,0.1604301437271461,224189590914000.0
609,809,영원무역홀딩스,25.065985953965185,0.1223989330618447,4.7634272284075925,119.4,0.5617169990327033,5.553781734109523,3.417731271725353,0.1705922333034971,814044842400.0
104,120,SK텔레콤,24.993010596115504,0.043588147459487,11.037133011939986,275.85118231815227,0.7628653067089745,3.078688841737706,7.117556166039228,0.0675917646494847,12313720927500.0
301,379,메가스터디,16.939309249642033,0.1154281887899898,9.28018950969456,157.2,1.5198322592772853,8.51495344067169,8.412506853405807,0.1273336813150093,498376426200.0
592,780,엔씨소프트,14.034239410485457,0.1166947852485448,21.44632209234608,300.9828187183681,4.373587928963636,15.645445180036711,21.78870413786946,0.114861073660077,3295586091000.0
739,981,인탑스,13.01915752488372,0.1035163171126654,4.293672604633398,55.9,0.2461487174261699,4.889335752963439,4.056614204096157,0.1095655520977068,240370000000.0
96,111,SK,11.025661228201786,0.0290233077784075,3.19526153726858,35.229871245426615,0.0703335036247694,1.5763897120735288,1.8406275326745507,0.0503833922846415,8406164348000.0
487,630,신라교역,8.686410010125,0.1362827167623623,5.491336460563135,47.7,0.8707354490939142,8.026474629760575,5.178850464385445,0.1445058621885823,381600000000.0
575,751,에이블씨엔씨,8.121603982110447,0.1784926061573505,19.429659504155573,157.8,1.8036818265972356,22.704428400751254,15.207929619337136,0.2280422548271777,815781973800.0
281,352,롯데쇼핑,7.971786911231457,0.0314088649185224,9.458356180314963,75.4,0.4372101780365477,12.112455300212355,7.461392859761807,0.0398151172579147,10949351998000.0
560,730,에스에프에이,7.944255755085946,0.1232798014388733,11.882799712177537,94.4,1.6699035647668563,13.829840653100048,12.101545197272698,0.1210514165897832,847446736000.0
517,665,아모레퍼시픽,7.802720801659666,0.0889756749126512,26.357147667733475,205.65746437943952,2.4905962755102085,25.752372167726413,19.425430332377186,0.1207255109607659,7096860686000.0
1032,1366,현대모비스,7.212465587176438,0.1178824332389168,7.914999900903808,57.08666440777363,0.9105529651334456,9.004479444372713,9.646014737896046,0.0967279724069587,28035032544000.0
224,267,덕산하이메탈,7.1313370786363945,0.2111634455450904,14.93408582789417,106.5,4.352713444134961,12.171060010361218,15.02718379772964,0.209855223835133,626057481000.0
453,577,세아홀딩스,7.10843544475,0.0354642054658805,2.3268129996475904,16.54,0.089435223134106,1.7921796381911534,1.4478038461779756,0.0569956866173707,330800000000.0
660,875,원익머트리얼즈,6.749242829243527,0.1310932857533515,10.68267979448017,72.1,1.9348400151916247,7.824798023638106,9.070600400747638,0.1543919402285558,213019450000.0
749,993,인포바인,6.558003126436781,0.216458469782497,7.746260411986356,50.8,4.662812461313787,8.86495904421588,7.367340820946837,0.2275914357793765,77343000000.0
322,410,무학,6.481953294172932,0.0915567146873119,10.490664914406253,68.0,1.6584684097304745,10.647458890995557,7.815571164509022,0.1228945133031522,361760000000.0
608,808,영원무역,6.452571894301866,0.1318645036453648,10.228479601797734,66.0,1.2715661457278415,7.542645462423649,7.228977925046734,0.1865787113645222,1346778444000.0
947,1268,하나투어,6.43863111598171,0.1061123251171001,18.94812698574648,122.0,2.30169712963018,18.08755079138705,17.8969730672098,0.1123446855242484,708587285000.0
442,565,성우하이텍,6.43658290512,0.0712130143179082,3.635469370150798,23.4,0.19431057400715,2.203041401338873,2.9237814002932367,0.0885472259598136,585000000000.0
377,491,삼성SDI,6.177526290586445,0.1364664924757943,4.6268786014299,28.58266420368505,1.1920098881745709,11.905991289343236,36.81251027230758,0.0171521553183356,6879309491000.0
153,177,금화피에스시,6.161848651666666,0.175246068936182,6.572702818503258,40.5,1.1226685401676966,10.782846637983544,5.940410689870615,0.1938991075469813,121500000000.0
140,160,고려아연,6.020465789740329,0.1149734039433571,13.454108507357477,81.0,1.3901424601089185,15.328074499654948,10.088392819954809,0.1533311281311802,7642350000000.0
424,541,서산,5.8946821915,0.1817720419157097,1.2485830042903678,7.36,0.1753480138669306,1.3871178285094672,1.0475060900004418,0.2166645944664778,14720000000.0
7,8,BYC,5.869188973333333,0.048768929708901,4.662328277146036,27.364085714285714,0.5296624262602296,3.880193632009361,3.44079902043201,0.0660825461405207,114929160000.0
563,733,에스원,5.746996456397031,0.1010139685202844,24.32575016544293,139.8,2.4224635893087805,20.88004544155942,19.72693122965689,0.124562737753666,2656142542200.0
304,386,메디톡스,5.458019254190065,0.2188537582944711,31.330047043847465,171.0,13.33704102521155,32.723537438866074,28.3912097184388,0.2415077980504469,483633742500.0
437,560,성도이엔지,5.439685861066667,0.1103498978539061,1.5295000874128664,8.32,0.151079310448576,-2.874413128791311,0.9953855257080182,0.1695626207679652,62400000000.0
8,9,CJ CGV,5.333732775689418,0.0545489928770738,12.055347109452596,64.3,0.8505369767780672,5.415909015618381,12.012813869007408,0.0547421320911983,662851274700.0
