,2020,2019,2018,2017,2016,2015
자본금,5001317000,5001317000,4562490000,4562490000,4562490000,1257954000
자산총계,97255340322,81136732304,81317164522,60367740228,35792751505,13445887745
당기순이익,15451435802,11383539413,14077175154,8988764191,6448196595,3496001175
영업활동현금흐름,6280672557,1144179970,29320757987,2301034786,7259589651,1781681818
영업이익,15404505661,12804587400,17282133730,11530857096,6902781961,3762011032
매출액,91634634388,75770273062,94181913976,56032967071,34987669560,25388918445
종가,18100,10300,7530,10100,10900,
시가총액,181047675400,100835650700,68711099400,92162298000,99462282000,
상장주식수,10002634,9789869,9124980,9124980,9124980,
