,2020,2019,2018,2017
자본금,1509448900,1492361200,1100000000,500000000
자산총계,46553183502,38698295319,9423020516,5252020572
당기순이익,-7637096089,-10644155311,-6277244842,-8410788422
영업활동현금흐름,-4116260232,-6422835816,-3819702136,-3205802393
영업이익,-7533991576,-10793760120,-4617039097,-2073419275
매출액,4489991489,229534331,362909092,84090909
종가,10150,,,
시가총액,153209063350,,,
상장주식수,15094489,,,
