,2020,2019,2018,2017,2016,2015,2014
자본금,10840282000,10833569500,7027197000,6573535500,6322639700,800000000,5370320200
자산총계,45136873731,47106648743,41258590258,54696398369,45481657317,47251816682,17980048985
당기순이익,758702367,-3328422480,-19992169627,-1116105701,-14869693883,2136503176,2126851466
영업활동현금흐름,4226695746,3686085861,-6897734040,-4302516423,-6225925731,-1245011433,1566489879
영업이익,1514932447,-3373994418,-13179400702,159484531,-6732668186,1790167360,2256035331
매출액,21152350538,22351230199,20026268449,29575767705,23086797282,20853634726,14760149641
종가,2505,3105,3220,6760,1430,,
시가총액,54309812820,43562165715,42333568620,88874199960,90413747710,,
상장주식수,21680564,14029683,13147071,13147071,63226397,,
