,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000,18166670000
자산총계,1110821080034,1096877066115,1078276075712,1086927962367,1334064597552,1266305616445,1090486206984,791732912540,683328317861,563407460425,560122065010
당기순이익,28799711803,25787600490,20722286432,15658864454,35590037309,49565642067,44140122377,38556558179,38562621026,34528937159,31090640276
영업활동현금흐름,5188462471,105752970263,17082071343,171965594024,122424239185,-42218122771,217863539958,53783535739,-37080828320,-1892210967,-52965336337
영업이익,40515731617,52038830520,36201356607,33976718869,60484950035,63690412472,56843482964,49486147820,47314875283,41261503289,39567094850
매출액,2839411295374,2923787985987,2935242220453,3080451880415,3400004480418,3143908414690,2733773271320,2496830272780,2045538123409,1682327248636,1549194150855
종가,8740,10400,6920,9010,10400,25300,28400,25750,28450,16200,27200
시가총액,309337791600,373810736000,248727912800,323849493400,373810736000,909366502000,1020790856000,925541005000,1022588023000,582282108000,977658848000
상장주식수,35393340,35943340,35943340,35943340,35943340,35943340,35943340,35943340,35943340,35943340,35943340
