,2020,2019,2018
자본금,3272158000,2872158000,2872158000
자산총계,114838836768,69684421380,56426178832
당기순이익,1579606908,1486566570,1486631733
영업활동현금흐름,4431439405,-19737025001,1852754566
영업이익,2126627592,2178909991,1945575312
매출액,46991996399,37953635851,31491977057
종가,37300,17250,30700
시가총액,214262986800,99089451000,176350501200
상장주식수,5744316,5744316,5744316
