,2020,2019,2018,2017
자본금,7524598900,2450024800,2160764500,400000000
자산총계,406676888092,344866909383,264548373052,103779059081
당기순이익,16145335664,7018471904,4873567437,4652468238
영업활동현금흐름,14544766753,25540870204,-5019611266,1577408228
영업이익,17169370576,10769610298,9642211988,6291507234
매출액,303015193408,251498424968,189670050944,133159645612
종가,7780,16950,,
시가총액,592840955860,407326263600,,
상장주식수,76200637,24031048,,
