,2020,2019,2018,2017
자본금,180235675000,180235675000,101785675000,51028915000
자산총계,2272620339599,2256474848477,2326055714894,2094576576063
당기순이익,-40246346429,-264300822542,-178926078845,14281034940
영업활동현금흐름,204526388307,57542834842,-4026713716,-4438758090
영업이익,72699092216,-156694465555,-100581457249,62419265433
매출액,1811344734384,1771133588482,1940412136088,1449573280270
종가,16400,11550,22200,114000
시가총액,591173014000,416344409250,451928397000,1163459262000
상장주식수,36047135,36047135,20357135,10205783
