,2020,2019,2018,2017,2016
자본금,15591574000,15211779000,15211779000,11873100000,11873100000
자산총계,68083830570,57312609542,49258408401,29664077581,20399306218
당기순이익,6683635566,3663877850,390120416,2051168976,2011132739
영업활동현금흐름,3903976194,3106523727,2038977472,963431190,2779795103
영업이익,6505924587,3371321113,5059761422,1834924050,2126424851
매출액,40203173509,32654539253,29599152901,22540597102,16368503112
종가,4585,4200,3230,,
시가총액,142974733580,127778943600,98268092340,,
상장주식수,31183148,30423558,30423558,,
