,2020,2019,2018
자본금,47400000000,47400000000,47400000000
자산총계,87297815996,74237442304,69429686725
당기순이익,7626706917,2944399173,2236128441
영업활동현금흐름,-10719521537,5703083692,-2447808988
영업이익,9964353238,3744778380,2938224347
매출액,16484728144,9051788165,7233621100
종가,7260,4575,
시가총액,68824800000,43371000000,
상장주식수,9480000,9480000,
