,2020,2019,2018,2017,2016,2015,2014,2013
자본금,3334427500,3332527500,3323027500,3295527500,3263427500,3215577500,2421777500,2421777500
자산총계,104415329013,60509518253,43226861161,37075182402,32227696376,25514524815,17709100238,16689002068
당기순이익,9955966928,8506309034,5595336108,4544615640,3727283567,3607735378,-819645391,-1612939184
영업활동현금흐름,12474649605,1555723889,3935485595,2659471215,237012878,32528377,-318849871,446139803
영업이익,14980848495,8035712410,5685111582,6031326773,3463094340,2364751432,-183672297,-1168839002
매출액,71223135801,51973741930,41810163936,32882239966,24452139881,19991699032,15293438775,16285703640
종가,94500,40550,40300,30100,17800,9000,,
시가총액,630206797500,270267980250,267836016500,198390755500,116178019000,57880395000,,
상장주식수,6668855,6665055,6646055,6591055,6526855,6431155,,
