,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,15453605000,15453605000,15453605000,15453605000,15453605000,14779232500,14297537000,13302305500,11314040000,10031990000
자산총계,73236024489,77314339353,78534356853,79069618324,76929028084,89438042582,101027896445,98569947265,103422937128,105316981901
당기순이익,-1743013759,2120412769,-124421653,-556943261,-7708379626,-10870440773,589909103,-8080020756,339954168,1205263873
영업활동현금흐름,2015952642,4926108326,2855391164,-1283359102,-453473219,10855928416,9685992630,5872887802,391811482,1296686041
영업이익,-2160878810,3080909387,1232092002,659259849,-3492067361,-7832372621,2059942040,370882906,2608280054,5170323995
매출액,98214900300,112874040576,108592320222,114066384956,97114675728,96543276527,98865608663,88205985385,76689973264,85674154074
종가,1095,1290,1350,1110,1625,2960,1905,1210,991,814
시가총액,33843394950,39870300900,41724733500,34307003100,50224216250,87493056400,54473615970,32191579310,22424427280,16332079720
상장주식수,30907210,30907210,30907210,30907210,30907210,29558465,28595074,26604611,22628080,20063980
