,2020,2019,2018,2017,2016
자본금,2687627000,2407500000,2407500000,,
자산총계,37058882923,33155944829,33155546016,,
당기순이익,3759256463,634253326,,,
영업활동현금흐름,5770239517,3938402080,,,
영업이익,6459195015,922849267,,,
매출액,44848706452,33178766694,,,
종가,11800,3000,2140,2700.0,3000.0
시가총액,63427997200,14445000000,10304100000,13000500000.0,14445000000.0
상장주식수,5375254,4815000,4815000,4815000.0,4815000.0
