,2020,2019,2018
자본금,3636164000,3091190500,224415000
자산총계,258461732887,133543917303,72357989318
당기순이익,40386639767,16141996858,8612791490
영업활동현금흐름,43556792250,8237334754,22194886771
영업이익,55211663468,39817851798,20226521050
매출액,290883711864,235344474891,141194339078
종가,39600,,
시가총액,287984188800,,
상장주식수,7272328,,
