,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,14776380000,14776380000,14776380000,14776380000,14776380000,,,,,,
자산총계,613344958708,606491433930,614211350096,577661653550,526762593077,,,,,,
당기순이익,20177727841,18212447578,14724633837,27306351319,20920335708,,,,,,
영업활동현금흐름,58398673434,39458633226,20709293270,62584996645,54517401427,,,,,,
영업이익,26719627349,25843126782,17775352669,40386320502,29118079438,,,,,,
매출액,520654569706,506617380665,489770531952,492204661036,443482415574,,,,,,
종가,20550,14000,12900,21200,14050,11800.0,11550.0,11750.0,8120.0,8020.0,8800.0
시가총액,509640000000,347200000000,319920000000,525760000000,348440000000,292640000000.0,286440000000.0,291400000000.0,201376000000.0,198896000000.0,218240000000.0
상장주식수,24800000,24800000,24800000,24800000,24800000,24800000.0,24800000.0,24800000.0,24800000.0,24800000.0,24800000.0
