,2020,2019,2018
자본금,409539388,40010000,40010000
자산총계,876224988,447862330,276197685
당기순이익,254590446,236891377,191950680
영업활동현금흐름,210382157,313552538,205282892
영업이익,311556052,291858064,231530292
매출액,742445216,651651888,566021065
종가,26500,,
시가총액,341574188000,,
상장주식수,12889592,,
