,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,16574195000,15988753000,7729231000,7729231000,7729231000,7519231000,6984771500,,,
자산총계,100535587174,89032049654,54796362663,45629570482,49089537257,40369622653,34400309894,,,
당기순이익,14947967156,-3187562179,8708964811,-8734807381,-2251866344,1557912185,20530801,,,
영업활동현금흐름,7131020337,-812481885,4200497697,-5467554703,-4644130622,1699150719,638860607,,,
영업이익,15736219290,-4368077903,5165702034,-3900277096,-3373220634,2131855140,1125090411,,,
매출액,45433157199,8347462254,20584390702,10962773686,10222261221,11835199687,9980378070,,,
종가,27850,15500,43100,44700,30600,54300,13800,12650.0,11900.0,9100.0
시가총액,916906580450,465166547500,648157712200,672219251400,460176937200,816588486600,192779693400,176714718950.0,109043662700.0,83386330300.0
상장주식수,32923037,30010745,15038462,15038462,15038462,15038462,13969543,13969543.0,9163333.0,9163333.0
