,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,44449215000,44449215000,44449215000,44449215000,44449215000,44449215000,32925345000,32925345000,32925345000,32925345000,32925345000
자산총계,1120794922952,1076285813831,1111856122230,1113148608424,1046784996510,1036809018544,831508123489,880892350093,843081791339,962778157726,634716151110
당기순이익,76818319159,67465575939,35973646301,41086407999,48473432352,70874808888,45705263266,35924287817,4919953039,66392285215,74972958209
영업활동현금흐름,157896474092,72484062136,54950769003,-18991154722,182916488289,-3550004480,66982881928,52514572598,98720759553,-35858799283,75153840877
영업이익,96249278752,84757896965,80054813973,67090237143,68046617952,53065769893,63419148457,48573720298,29062538599,71207075012,85290866402
매출액,890460358535,875163630213,814007810102,762387352155,740883521442,708217608563,669132585068,681887317248,648367610944,682723209085,575005598059
종가,48300,46750,42000,46550,44700,45700,57500,59200,38200,51100,55100
시가총액,429379416900,415600160250,373373406000,413822191650,397375982100,406265825100,378641467500,389836084800,251549635800,336497025900,362837301900
상장주식수,8889843,8889843,8889843,8889843,8889843,8889843,6585069,6585069,6585069,6585069,6585069
