,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,16785696500,11337262000,10628575500,10628575500,,,,,,,
자산총계,65334719219,78326126414,84184572951,120391705056,,,,,,,
당기순이익,-11983306376,-11755924474,-30888595388,-30393134770,,,,,,,
영업활동현금흐름,9340216381,-452362989,-6260798285,-6628058314,,,,,,,
영업이익,1189219895,3987124816,-13356953896,-27695793787,,,,,,,
매출액,50235709704,75991827874,50785935891,55841451633,,,,,,,
종가,1820,1640,1995,4180,7260.0,5100.0,6020.0,9660.0,27050.0,25400.0,29000.0
시가총액,58884145320,37186219360,42408016245,88854891180,154326916260.0,91683470100.0,108222449020.0,173659278660.0,482787074550.0,435425875400.0,483937529000.0
상장주식수,32353926,22674524,21257151,21257151,21257151.0,17977151.0,17977151.0,17977151.0,17847951.0,17142751.0,16687501.0
