,2020,2019,2018,2017,2016,2015,2014,2013
자본금,110000000000,110000000000,110000000000,110000000000,110000000000,110000000000,100000000000,100000000000
자산총계,2595606499093,2317491215306,2322091224454,2008352049150,1791479110121,1754273776933,1625935663136,1453548643500
당기순이익,57881698047,3185323837,4458063714,-9485624140,77051466022,83022325304,50554088497,53774596605
영업활동현금흐름,192104829697,151004955851,-113998986686,-36377777918,-107674119838,8989968697,63540585710,175718248678
영업이익,63741639085,18106724003,24091307603,3057450829,87615897330,112175924939,72022514186,51394878987
매출액,1600344315019,1452651352252,1477507584978,1701985323500,1860784769772,1903704148042,1400163624805,1208198158593
종가,30500,31600,36950,59800,80500,103500,,
시가총액,671000000000,695200000000,812900000000,1315600000000,1771000000000,2277000000000,,
상장주식수,22000000,22000000,22000000,22000000,22000000,22000000,,
