,2020,2019,2018,2017,2016,2015,2014,2013
자본금,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,9000000000,9000000000
자산총계,2043977184649,2075507093635,1740942671675,1626494168426,1675070481921,1430474982531,1174199477318,866710373434
당기순이익,84276965002,94564534285,92381767545,75661546395,77973082619,78036780957,83835154818,70781497434
영업활동현금흐름,105064524224,136368361849,4535987168,115512411296,114302421905,68288985715,109183715194,53235147075
영업이익,111506787321,121852465244,118186486322,96678964974,99439957582,92927752421,83491796563,82306560923
매출액,1221072413932,1274274037164,1239176790460,1138685372832,1051560761873,987924245764,744733705788,634119153889
종가,59600,70900,63300,73200,57100,70000,,
시가총액,1192000000000,1418000000000,1266000000000,1464000000000,1142000000000,1400000000000,,
상장주식수,20000000,20000000,20000000,20000000,20000000,20000000,,
