,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,8196846000,5738270500,5368900000,5368900000,3139248000,3139248000,2542597000,2542597000,,
자산총계,52543603555,25900053091,35066550053,25067374067,25860315851,32729925611,20476534423,22407078376,,
당기순이익,-13772653386,-13118203728,-3753037931,337624325,-9811454753,-9053991657,-4459033037,-7210899002,,
영업활동현금흐름,849384017,-1299140506,-1601997910,-2490194825,-3769564788,-3728908605,-143135641,-277963322,,
영업이익,-8058790289,-5845160305,-2911753918,944076196,-6342292465,-7964599575,-4252736149,-6346225486,,
매출액,15285686055,15572844590,14876022713,14480118055,11483885451,9419933974,8732714145,6666124288,,
종가,9590,3690,4060,5800,6830,12800,13800,8140,10900.0,16400.0
시가총액,157215506280,42348436290,43595468000,62279240000,42882127680,80364748800,70175677200,41393479160,55428614600.0,67501252000.0
상장주식수,16393692,11476541,10737800,10737800,6278496,6278496,5085194,5085194,5085194.0,4115930.0
