,2020,2019,2018,2017,2016,2015
자본금,11923810000,11921051000,11222979500,11018464000,5867921000,5865221000
자산총계,312304514870,260240850837,234287802661,155075427077,131432449203,124494990352
당기순이익,1571044009,20164377270,25401251229,6126808153,5564151773,4453434224
영업활동현금흐름,-24172595586,27059112921,48108086243,5227686588,15240874214,-5265458541
영업이익,-2996706640,17936449298,26711254436,8075619480,5467453621,3040012182
매출액,70452303693,107768753760,108101223672,62055228486,61229198366,49686745841
종가,44650,36850,24600,16800,,
시가총액,1064796233000,874903828700,552170591400,370220390400,,
상장주식수,23847620,23742302,22445959,22036928,,
