,2020,2019,2018,2017
자본금,5656118000,2828059000,2828059000,
자산총계,90866396462,86740548269,65194764755,
당기순이익,17204652674,8442232192,-1021721151,
영업활동현금흐름,32892155441,-1587750284,-6089784705,
영업이익,24968174509,7702123233,-1708653084,
매출액,106206149566,85064902299,35455310862,
종가,12800,27200,9480,23950.0
시가총액,144796620800,153846409600,53619998640,125932692500.0
상장주식수,11312236,5656118,5656118,5258150.0
