,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,
자산총계,294093830739,281692945907,262516457233,230420605365,215036136713,189001800094,158057524434,142932108086,105483370139,94174014346,
당기순이익,29941078442,27677441386,39649708579,20582620746,23917682380,22676558158,21397902798,22786047490,18485545955,15182500208,
영업활동현금흐름,15214994319,22975766083,22300740358,46527258576,32246922449,24673698267,9016891062,9642406329,11267896510,15831662830,
영업이익,26993690073,34327290781,41384787490,33863832508,29816098005,27682715291,23448696406,27103680182,20453131331,15670906066,
매출액,235335656034,209435313758,233326732686,205781841400,235018376069,235969689908,189631758875,166122419168,108224284954,82738193183,
종가,29100,29500,29650,42900,35250,35100,48050,33100,20250,11150,12100.0
시가총액,174600000000,177000000000,177900000000,257400000000,211500000000,210600000000,288300000000,198600000000,121500000000,66900000000,72600000000.0
상장주식수,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000.0
