,2020,2019,2018,2017,2016,2015
자본금,7203374500,7103374500,6224570000,6224570000,6224570000,6224570000
자산총계,896807385623,755067849936,514784302806,340368616167,246487252985,142640687396
당기순이익,45789825138,72426383855,43608873371,45151695662,62615421436,
영업활동현금흐름,6977190256,-22055447389,11560384745,29435540449,22315092348,
영업이익,86722514270,103868177518,53086657760,87200984193,81353469874,
매출액,989524781950,817137676913,621764300551,602754834475,341519130392,
종가,103000,92800,,,,
시가총액,1483895147000,1318386307200,,,,
상장주식수,14406749,14206749,,,,
