,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,16041168800,11413527200,9186098000,9186098000,9186098000,9186098000,20947961000,9550000000,4120000000
자산총계,121322112252,97692113863,68647745510,62198072165,68317951980,66717897517,106921364359,213793189806,246169300298
당기순이익,-23612848455,-4015741709,18271440367,-18409958979,3764122009,-24676332660,-60856578514,-28049886674,-4676405347
영업활동현금흐름,2102261548,8412794069,4394900975,1140444015,2312500898,-29763897410,-657370686,-16278363897,9900099670
영업이익,17495129,7897754682,5360894726,2652926713,2338326011,-13596220075,-44203048012,-21459971023,3440733824
매출액,60779612320,44757416275,27831033691,13590205437,15331346976,24744323481,67587936175,62834586332,138318583207
종가,1200,915,842,844,6700,,,,
시가총액,179107998000,104433773880,77346945160,77530667120,123093713200,,,,
상장주식수,149256665,114135272,91860980,91860980,18372196,,,,
