,2020,2019,2018,2017,2016,2015,2014
자본금,4028388500,4028388500,4005897500,3942826000,1469517500,1316200000,1316200000
자산총계,179307690932,144263389698,121311102730,124860423549,90530670717,53048991824,51545863284
당기순이익,12307080004,9314082227,8627690026,8292616351,6325594904,4095644416,4018369835
영업활동현금흐름,24629441626,2441023967,-808244613,3914774652,2951786427,-1216673413,-1757056974
영업이익,14847198536,12209437288,11087812593,10248899163,8998262664,5535301567,5226706972
매출액,39440174261,34463400471,35769759371,36750461839,31454021363,26514434522,24047969355
종가,54000,25150,15800,22950,45100,,
시가총액,435065958000,202627941550,126586361000,180975713400,132550478500,,
상장주식수,8056777,8056777,8011795,7885652,2939035,,
