,2020,2019,2018
자본금,2545900000,511380000,500000000
자산총계,115666848026,81448633915,68406252777
당기순이익,8487689025,11615080141,4634166426
영업활동현금흐름,4465795484,17341740583,2963319718
영업이익,8845590974,12655214060,4518273654
매출액,55617176046,58862418665,43224917772
종가,48800,,
시가총액,248479840000,,
상장주식수,5091800,,
