,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000,7427128000
자산총계,353870666762,386987301358,349615465694,321481558344,390173060341,270205260108,239957970936,227688792882,199976303981,171126562739,165790140070
당기순이익,-21796842378,35589934309,29152011480,24865013300,20813904764,15162504824,11616916797,1833648381,5649415848,1646758237,8068805433
영업활동현금흐름,51138074505,40674798195,33243501245,51002949037,32235276857,29260415181,15685049777,9258539747,1064711023,2198554708,6793692360
영업이익,31580792110,42868726413,39354566641,39074841087,29851159592,22266626812,31644169304,15308716525,12404824578,149267956,14159425901
매출액,244312064396,271702910386,234393035948,218808933623,178560625336,165647278175,194791463756,171517053337,175811177775,149625813129,142641428745
종가,22450,29200,21600,34050,36150,39550,26150,11150,11000,7250,11850
시가총액,333478047200,433744275200,320851929600,505787416800,536981354400,587485824800,388438794400,165624954400,163396816000,107693356000,176022933600
상장주식수,14854256,14854256,14854256,14854256,14854256,14854256,14854256,14854256,14854256,14854256,14854256
