,2020,2019,2018,2017,2016,2015,2014
자본금,13514218500,13514218500,13514218500,13514218500,13514218500,13514218500,13514218500
자산총계,1803837512500,1820541997328,1696230428029,1764809872994,1801799812995,1703969083907,1465384489087
당기순이익,-40833000718,-48334159059,-8091976114,30402901749,93906381371,81331743001,53464360389
영업활동현금흐름,115296351214,191598810084,-30245336041,140868729200,116462879496,136046119559,32973909383
영업이익,48464737434,21876293584,12026212717,-13081975549,107825849989,118466862465,60281245234
매출액,1962384593266,1976766424325,1850754746863,1966639301987,2402877999500,2289404878012,1124952718897
종가,7320,4935,4450,10050,14000,,
시가총액,197848158840,133385336595,120276544650,271635791850,378398118000,,
상장주식수,27028437,27028437,27028437,27028437,27028437,,
