,2020,2019,2018
자본금,643058600,520695000,495900000
자산총계,79055907918,55664331708,51223599370
당기순이익,-18538375487,8493516407,3551776197
영업활동현금흐름,10198128086,10040129074,6554872834
영업이익,115775495,9030161514,5920888727
매출액,48940226902,62181341120,51325605595
종가,53400,,
시가총액,343393292400,,
상장주식수,6430586,,
