,2020,2019,2018,2017
자본금,3326633500,3326633500,2811633500,2670019000
자산총계,89199835855,76656973882,41273905182,25807176867
당기순이익,7903630315,11555269259,5251390260,1154195649
영업활동현금흐름,2903332294,6039622487,4297843845,1101372231
영업이익,4580605205,12860995989,6047778874,1945977291
매출액,55204787493,73108725932,51533644723,32929247700
종가,53300,42900,,
시가총액,354619131100,285425154300,,
상장주식수,6653267,6653267,,
