,2020,2019,2018,2017,2016,2015
자본금,3672002700,3672002700,1250602400,1000000000,1000000000,1000000000
자산총계,232667374475,227974975306,200180758544,122836078048,83188236557,66349899118
당기순이익,-1418459061,9606579414,9619134332,12033536379,9004249362,8224591555
영업활동현금흐름,20474538401,-9152782318,-24586358867,10631778462,1450653689,16569320285
영업이익,5262729040,12802377443,15140728439,16592443040,11464092002,7065357818
매출액,130266473519,132776114591,142256433836,126112114507,93642364279,64861165823
종가,1865,2235,11300,,,
시가총액,68482850355,82069260345,141318071200,,,
상장주식수,36720027,36720027,12506024,,,
