,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,121575085000,76390000000,76390000000,76390000000,76390000000,76390000000,76390000000,76390000000,76390000000,67540445000,67540445000
자산총계,975643749630,1068023649502,935654739558,999536231883,1097878605413,1028558559092,1093778459090,1291256102169,1308917043435,1254246090649,1057021004198
당기순이익,-139895416735,-18913644124,-1610849752,-926816620,7863435570,-54617454138,-86425816165,-60453588882,14996745025,14314349764,42812793788
영업활동현금흐름,82670007086,-5437434092,-39082089412,10201112180,82449731786,56542110002,-7936329003,-44057194492,-28488687281,37342133356,23635039655
영업이익,-32654283104,9430779805,7446366100,33304982070,,,,,,,
매출액,1318965622476,1516191857328,1531095976713,1505388256576,,,,,,,
종가,13200,10600,10000,15250,16300,10300,9120,12800,21850,24800,19300
시가총액,318328560000,161946800000,152780000000,232989500000,249031400000,157363400000,139335360000,195558400000,333824300000,335000607200,260706117700
상장주식수,24115800,15278000,15278000,15278000,15278000,15278000,15278000,15278000,15278000,13508089,13508089
