,2018,2017,2016,2020,2019
자본금,3100000000,1240000000,1200000000,,
자산총계,75152268364,64938182237,52271350708,,
당기순이익,10888702564,6936917930,3591922817,,
영업활동현금흐름,16108934803,13859987024,6454113016,,
영업이익,13778832071,9722911749,3373850912,,
매출액,60939330961,49508497990,32229855382,,
종가,14900,56000,,2790.0,2035.0
시가총액,92380000000,138880000000,,158253157980.0,110583298045.0
상장주식수,6200000,2480000,,56721562.0,54340687.0
