,2020,2019,2018,2017,2016
자본금,17079760500,19175685500,13599934000,10739017000,8715860500
자산총계,158931246112,135892621486,123950307059,74092907911,62089520130
당기순이익,-1308655827,3411551246,10707739301,-13007379865,-14565415282
영업활동현금흐름,-3201153059,-3496728700,-11003422316,-5543710665,169960694
영업이익,5460909744,10263494628,13404017933,-6678287790,-8688783629
매출액,107395372683,112756599675,109469851163,69859691273,41141465092
종가,8890,9000,,,
시가총액,303678141690,345162339000,,,
상장주식수,34159521,38351371,,,
