,2020,2019,2018,2017,2016,2015,2014,2013
자본금,6038821500,5325928500,4965975000,4965975000,4965975000,1400000000,1400000000,400000000
자산총계,162336065043,114607991444,103767546487,67126791936,69928846531,36291100245,32576615933,21797099913
당기순이익,520432152,2476429570,5904317728,3016089445,7201364892,6139010007,5657008738,5046562791
영업활동현금흐름,-24257024667,4753785511,1504172315,-7752280891,4713113429,-2128664150,3972567505,1596088780
영업이익,6249229683,10209218584,6253143960,5346483178,8510873275,8007034738,7792614799,7730590767
매출액,291356357050,283584884383,234610659445,177323688117,148416764931,92711040283,86379377975,74960951048
종가,7140,6770,4470,6940,8910,,,
시가총액,86234371020,69905605070,44395816500,68927733000,88493674500,,,
상장주식수,12077643,10325791,9931950,9931950,9931950,,,
