,2020,2019,2018
자본금,5621923000,4076796000,3128342000
자산총계,42279162949,21249446938,12439088179
당기순이익,-4952971426,-405340578,-4039788575
영업활동현금흐름,-4840101572,-2127767520,-2847676291
영업이익,-1718513276,-2636495042,-2839535458
매출액,8684947296,6204764123,4588304679
종가,34250,,
시가총액,385101725500,,
상장주식수,11243846,,
