,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,9953666500,8095462500,7850341000,7639116000,4679116000,2210096000,1630760000,1200000000,
자산총계,541851968266,392923341773,403417387604,172136602838,158288305435,132977965634,99502189964,70311238361,
당기순이익,3143849171,5561853817,5122050859,-126449862,-7403425328,-8661913729,2755872900,2442447079,5222187535
영업활동현금흐름,17531423875,7247669343,7806401548,13226375329,-26982854033,1746056593,16802415084,-11310452840,9989349034
영업이익,14562145227,25201012728,8325311352,3064723260,-3761136290,-9471519413,5990657205,5660419140,8429985173
매출액,2275082680581,1534268871051,549190542757,169035068639,273654423227,161830134796,239266191571,137560306252,131770911638
종가,5240,6850,3410,2945,5380,13800,8200,,
시가총액,104314424920,110907836250,53539325620,44994393240,50347288160,60998649600,35354464000,,
상장주식수,19907333,16190925,15700682,15278232,9358232,4420192,4311520,,
