,2020,2019,2018,2017
자본금,3771825000,3771825000,3771825000,3771825000
자산총계,162605488159,145029438741,160224768567,159780822426
당기순이익,13828229758,7629754575,5101014474,7650387609
영업활동현금흐름,15192383216,13121992919,4485269685,12207319682
영업이익,13842082511,8277998571,7529606371,11955782683
매출액,118772574550,112605437067,108498547742,105852233062
종가,37700,22000,21050,32000
시가총액,177855405000,103788300000,99306532500,150964800000
상장주식수,4717650,4717650,4717650,4717650
