,2020,2019,2018
자본금,329536650000,219691100000,219691100000
자산총계,6116097910011,4409550765094,4863355063497
당기순이익,220205212182,413669803493,229852940958
영업활동현금흐름,-258907141040,-119988850843,454640184509
영업이익,585721101017,551487293833,317930502477
매출액,3670224980413,4216489503536,2792736856185
종가,26100,25650,48200
시가총액,1720181313000,1127015343000,2117822204000
상장주식수,65907330,43938220,43938220
