,2020,2019,2018,2017,2016,2015,2014
자본금,5746261500,5741261500,5741261500,4701261500,3800011500,3099280000,2199285000
자산총계,8302608633,25811264567,38218233039,23646564740,6758319489,6802301757,2801312803
당기순이익,-11057017333,-14996408024,-3521365582,-4314269096,-5166236334,-1924225932,
영업활동현금흐름,-5757223073,-5006063503,-4562979033,-8582359204,-4580905936,-2066071391,
영업이익,-6080825664,-6175593201,-4909808092,-5212061009,-4339002426,-2278625520,
매출액,1261710738,1250847936,1741999606,1033961524,239585765,364260090,
종가,5070,4860,8360,19800,,,
시가총액,58267091610,55805061780,95993892280,186169955400,,,
상장주식수,11492523,11482523,11482523,9402523,,,
