,2020,2019,2018,2017,2016,2015,2014
자본금,85000000000,85000000000,85000000000,85000000000,85000000000,75000000000,75000000000
자산총계,383211976358,326587242970,306239933904,290423756529,250952924476,229165336917,216394965803
당기순이익,29989719980,18231057672,20727839096,23892277175,18849483999,14687200587,20227858129
영업활동현금흐름,44378902199,33520290708,36762813333,23658688474,16403337815,29819609449,10429405158
영업이익,43519674567,27024997834,26761214194,33853548442,25837519917,18804460782,9930686313
매출액,458746167572,381400317567,363290231265,325060603312,276195590231,246043242375,165198409266
종가,24400,15800,12950,16500,12950,,
시가총액,414800000000,268600000000,220150000000,280500000000,220150000000,,
상장주식수,17000000,17000000,17000000,17000000,17000000,,
