,2020,2019,2018,2017,2016
자본금,1455880000,1455880000,1455880000,827670000,827670000
자산총계,115549235935,120238341430,108542237212,83735682133,82840117534
당기순이익,-11101407859,1052455940,1816849165,2782578701,8705648589
영업활동현금흐름,-7658427692,3770014680,6414103072,1775829203,3779604374
영업이익,-6763084334,294567728,3130653389,5093388457,10419636856
매출액,72659176166,66939882779,76493497004,84224111038,79213038409
종가,2980,2900,3670,,
시가총액,43385224000,42220520000,53430796000,,
상장주식수,14558800,14558800,14558800,,
