,2020,2019,2018,2017
자본금,14650841500,8233065500,8233065500,8233065500
자산총계,48245356506,22007317088,20596414484,27909279937
당기순이익,-3647914949,-5005679235,-1917861409,-337113556
영업활동현금흐름,-7007594470,-531481300,457581289,-3931535407
영업이익,-2021117848,-2865782259,-3625523317,390828222
매출액,32148780774,31861191505,27666210201,31094348791
종가,2525,,,
시가총액,73986749575,,,
상장주식수,29301683,,,
