,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500,6084556500
자산총계,765989775630,708861042205,639100629515,595288907066,585890727422,556754828849,491207875928,466545007809,466466906493,434227525377,338408088699
당기순이익,59261938767,37366003811,29384182358,26393453298,30703782370,25222928190,22173013516,13842694848,,,
영업활동현금흐름,46093480955,22115561779,49006540708,45688939451,53033306850,26219523997,23667722367,-6552696228,7420081211,10613837270,18610613362
영업이익,74317231751,47404022867,39306801711,37286555329,40113697940,33833825243,29128232287,25155455064,14425658446,26909950050,25524801754
매출액,553012153653,460728389318,393476122727,350007727009,340361414879,304123698961,291116074581,269989436343,207026299104,187868822869,166870016412
종가,51000,35500,23400,32700,37150,42450,49900,,,,
시가총액,590024763000,410703511500,270717244200,378309995100,429792547950,491108846850,577298738700,,,,
상장주식수,11569113,11569113,11569113,11569113,11569113,11569113,11569113,,,,
