,2020,2019,2018
자본금,2458157500,2000000000,2000000000
자산총계,113612236181,75652390094,59834295404
당기순이익,11818923323,9473499388,
영업활동현금흐름,16725673978,6830499756,
영업이익,15157104623,11087890401,
매출액,184111813054,149136208897,
종가,52500,,
시가총액,258106537500,,
상장주식수,4916315,,
