,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,25707247000,25707247000,25707247000,25707247000,23716131500,23379023000,21019262000,21019262000,21019262000,21019262000,21019262000
자산총계,960791826390,840710797540,760451747575,667169454942,657591755145,655669437054,627707301658,615258186065,594654428144,553762349284,507812670680
당기순이익,85257903462,58693161574,47958363786,44996645918,26377437554,19937727910,10636398033,3803259774,7172486115,-6716169686,15712139598
영업활동현금흐름,130241209519,108747151160,62329884295,81190641303,111225861232,60181672581,38134971630,41484930072,27001670839,6146079367,1498639756
영업이익,126257657451,104867455148,70984302815,71904939416,45404003049,58451962578,37734634061,23428008854,27350801664,8761190750,30735478630
매출액,937800799678,875254175031,827231161595,785154565399,764955940617,709287907069,669575437932,654432236938,571228239002,457421767569,422852856256
종가,36500,16750,7310,22100,10100,5700,3620,3905,4350,3670,6300
시가총액,1876629031000,861192774500,375839951140,1136260317400,479065856300,266520862200,152179456880,164160436220,182867579400,154281383080,264842701200
상장주식수,51414494,51414494,51414494,51414494,47432263,46758046,42038524,42038524,42038524,42038524,42038524
