,2020,2019,2018
자본금,6684397000,1884799000,73587000
자산총계,30508858372,12431956609,2686606431
당기순이익,-3704924810,-11254756430,-4531224417
영업활동현금흐름,-5493572609,-1193416876,-1326047121
영업이익,-5120236634,-2063420289,-2566586408
매출액,4569851705,3291178750,1549839790
종가,42150,,
시가총액,563494667100,,
상장주식수,13368794,,
