,2020,2019,2018
자본금,3632471500,957052000,861450000
자산총계,67382986074,27884170485,6576181532
당기순이익,4917410507,5544088863,1868149057
영업활동현금흐름,7082609452,5049807789,1826865924
영업이익,4105977196,6517823208,2215835377
매출액,40510330758,37783376450,12231040955
종가,15800,,
시가총액,114786099400,,
상장주식수,7264943,,
