,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000,4480000000
자산총계,82121003734,83298765711,81244539598,81969474296,82951197449,83719639829,79186656798,82006254804,78252001064,63473051566,63483205103
당기순이익,1387999940,2669253040,1491299283,-746195371,3110147352,3811297278,728174795,5074168759,7327474656,3244949515,4513481338
영업활동현금흐름,3221659500,3338042227,4366951861,3783964176,3019465872,6098131070,4599053348,8501396087,3050398046,4320177236,7122195203
영업이익,1449565168,2749843004,2937306333,1162087556,4155128137,2656164765,1575144739,3529025194,3003633801,3627885434,5119880692
매출액,24015715781,23557318307,23236496720,22098488378,27804608697,24831199039,23340031487,28452629311,25523192065,21808217937,19619410839
종가,6120,4555,4395,5220,6920,6070,5820,9000,13900,5620,5960
시가총액,54835200000,40812800000,39379200000,46771200000,62003200000,54387200000,52147200000,80640000000,124544000000,50355200000,53401600000
상장주식수,8960000,8960000,8960000,8960000,8960000,8960000,8960000,8960000,8960000,8960000,8960000
