,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,6306231000,6262481000,6262481000,5521741500,4864310000,4645166500,,,,
자산총계,52622823187,42130084942,30307808890,31927080474,24923147478,27630322757,,,,
당기순이익,9224185766,5422363557,-6511369846,-267286255,-3552563165,452263214,,,,
영업활동현금흐름,-1058612943,1682522335,-5732523543,1096139721,-6250920283,2263828154,,,,
영업이익,7018451915,4705629954,-8319461323,29218793,-3554675813,448004222,,,,
매출액,56259572311,40530902130,16109102487,24305555594,16731046395,23053280321,,,,
종가,15700,4900,4320,5730,3850,3195,2990.0,6320.0,4290.0,5270.0
시가총액,198015653400,61372313800,47707846560,63279157590,37455187000,29682613935,27769125670.0,58695944560.0,39456558570.0,47985104910.0
상장주식수,12612462,12524962,11043483,11043483,9728620,9290333,9287333.0,9287333.0,9197333.0,9105333.0
