,2020,2019,2018,2017
자본금,14738515000,14738515000,11792657500,11792657500
자산총계,699658164834,749999474069,778269612439,710280193552
당기순이익,19017069207,24638348063,34164797763,17798556103
영업활동현금흐름,314378385,33973376114,120705225756,19373908182
영업이익,18135395014,28055130177,42657143033,21664503402
매출액,1086830627542,1422707835302,1606531867022,871548284418
종가,18600,21250,33200,36250
시가총액,109654551600,125277377500,156606491600,170993533750
상장주식수,5895406,5895406,4717063,4717063
