,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,8284594000,8284594000,8284594000,6186544500,6186544500,6186544500,6186544500,4899044500,4000000000
자산총계,251347372410,292991021484,290374345616,261098687443,243371092231,229525463285,208916770354,200815406505,184758266056
당기순이익,-18345226559,-5731532742,1069467355,2890995962,7429423210,9835870350,7645647493,9471901201,6822241574
영업활동현금흐름,7315144118,7830250873,9127147825,7440283648,24089243267,16008297657,18894726564,19527518158,16564589968
영업이익,-9245174281,58990384,5343398448,6659083725,13710278932,15596215537,14123609147,13567929340,13261521382
매출액,137648741238,174548417281,183480392026,209549600104,226605078685,217935251522,203192858005,201761510193,187926194766
종가,3230,2645,3315,4355,6120,6660,6560,,
시가총액,53518477240,43825502260,54926858220,53884802595,75723304680,82404772740,81167463840,,
상장주식수,16569188,16569188,16569188,12373089,12373089,12373089,12373089,,
