,2020,2019,2018,2017,2016
자본금,4825108000,2412554000,2412554000,212500000,212500000
자산총계,55477531017,61620374352,59657395069,11373384917,11916063870
당기순이익,-3696864911,4628076362,5247720086,1176696464,3167733706
영업활동현금흐름,4449515448,-5030495004,1692528010,3121254472,1301557761
영업이익,-4433593909,5326327524,6712342463,1978671224,3733586513
매출액,20723392923,31891285547,30576216125,14062786032,16163910338
종가,21100,15300,25200,,
시가총액,203619557600,73824152400,121592721600,,
상장주식수,9650216,4825108,4825108,,
