,2020,2019,2018
자본금,4030640000,3361140000,1064830000
자산총계,83515531710,76638234759,49421682990
당기순이익,-4465930275,14650843451,3554350991
영업활동현금흐름,-5408811140,14948302472,904388776
영업이익,-2999492923,16944458532,2608569117
매출액,41572494532,84802116890,49696103818
종가,20800,,
시가총액,167674624000,,
상장주식수,8061280,,
